diversity,equity,inclusion,document_length,Doc_ID
3,33,20,3761,12611620.F
0,22,12,3282,12611679.F
1,26,25,3451,12611743.F
1,35,31,2168,12611900.F
7,47,46,6766,12612199.F
0,49,6,1603,12612697.F
9,43,29,5868,12613370.F
2,5,6,2026,12613483.F
5,5,15,2624,12613485.F
3,10,5,1474,12613487.F
2,25,52,5797,12613512.F
5,10,27,2964,12613987.F
7,28,28,3554,12614636.F
3,40,57,4592,12614796.F
3,8,42,2372,12614855.F
1,5,29,2558,12615015.F
2,10,25,2771,12615020.F
1,22,17,3038,12615029.F
0,19,25,2576,12615030.F
56,265,213,10804,12615128.F
5,31,33,4538,12615259.F
4,26,25,2205,12615260.F
8,64,142,10218,12615790.F
2,26,19,3004,12616227.F
1,38,66,4847,12617310.F
0,8,16,2977,12619597.F
17,27,71,7122,12619973.F
3,25,67,3539,12620328.F
10,25,20,3564,12620490.F
6,15,29,4578,12621086.F
3,42,39,4363,12621132.F
0,15,8,2054,12621435.F
0,16,14,2418,12623241.F
0,24,21,3999,12623662.F
5,47,52,5260,12623685.F
23,10,27,4450,12625604.F
4,25,39,3535,12625854.F
5,15,51,6270,12626958.F
1,29,25,4204,12627190.F
1,16,15,1798,12627416.F
4,7,29,3387,12627627.F
13,8,18,4224,12627739.F
5,5,30,3235,12628287.F
4,31,14,2101,12628295.F
8,11,60,4871,12628681.F
7,21,66,5727,12629509.F
3,21,15,1856,12629580.F
3,8,22,4230,12630002.F
9,17,44,4764,12630006.F
1,26,27,3727,12630008.F
9,69,154,6880,12630015.F
0,26,19,3833,12630101.F
4,22,47,3525,12630132.F
4,22,9,3808,12630158.F
1,43,68,6085,12630451.F
3,11,11,3804,12630565.F
4,24,47,4545,12630576.F
13,22,35,4065,12630597.F
3,16,28,3589,12630599.F
1,30,39,3774,12630604.F
1,21,13,3690,12630605.F
51,98,304,6904,12630891.F
1,29,5,1732,12630898.F
2,65,40,7267,12630903.F
4,23,20,2464,12630906.F
13,17,34,5330,12630921.F
3,45,50,5229,12630924.F
0,38,28,4604,12631037.F
4,17,41,5212,12631110.F
27,32,90,6713,12631112.F
11,95,104,6182,12632062.F
52,11,32,5150,12632064.F
56,14,91,6594,12632066.F
0,3,41,3175,12632359.F
2,10,23,3988,12632603.F
1,6,27,3999,12632607.F
0,39,48,4714,12632696.F
1,6,2,728,12632966.F
1,23,17,3601,12633017.F
1,18,15,2983,12634643.F
0,28,14,3710,12635511.F
0,16,9,1605,12635657.F
13,17,21,3964,12636848.F
2,30,19,3203,12636980.F
5,23,38,4693,12638307.F
3,13,41,3636,12638325.F
3,7,25,4136,12638327.F
1,27,12,2529,12638330.F
4,24,17,3510,12638331.F
8,23,32,2894,12638945.F
0,12,10,1754,12640503.F
245,18,38,3226,12641353.F
5,23,32,1906,12641825.F
8,78,100,3723,12644147.F
60,73,210,8675,12644396.F
18,74,109,3472,12645039.F
1,10,8,1864,12645601.F
0,28,24,3349,12645685.F
0,21,8,2200,12645700.F
0,46,18,4494,12645818.F
2,17,29,3382,12646987.F
7,12,35,4078,12646989.F
5,24,32,4308,12647476.F
3,19,61,2277,12647703.F
24,134,182,5632,12648806.F
42,14,42,5173,12648992.F
50,8,79,6251,12649010.F
15,141,167,6786,12649541.F
23,20,37,2959,12650545.F
0,7,5,1199,12652680.F
0,11,13,1716,12654697.F
5,22,30,2848,12657026.F
13,25,49,3633,12658196.F
12,20,13,1901,12667715.F
88,13,40,4047,12668241.F
39,397,166,11167,12668249.F
8,34,20,4261,12668410.F
2,14,33,1869,12669541.F
0,26,41,6708,12670282.F
9,21,43,3120,12670288.F
11,114,90,3332,12670353.F
3,23,44,5805,12672250.F
8,8,53,5098,12672278.F
3,82,33,6053,12672901.F
12,9,13,4690,12672907.F
3,41,56,3480,12674160.F
2,19,49,3573,12674285.F
23,15,8,2173,12674391.F
22,311,216,7311,12674679.F
1,11,19,3256,12674875.F
0,7,3,1144,12675057.F
4,22,20,2833,12675193.F
5,32,61,4182,12675209.F
72,134,258,8945,12675241.F
4,35,23,4685,12675365.F
2,23,28,3178,12675892.F
0,18,16,1707,12676568.F
3,36,24,6085,12676806.F
2,49,19,5188,12676807.F
13,14,23,3941,12676810.F
1,31,13,4948,12676814.F
5,30,14,5015,12677055.F
23,17,71,3905,12677210.F
62,23,19,2304,12678165.F
4,36,19,4620,12678560.F
4,19,18,2500,12679020.F
0,33,9,2775,12679521.F
16,21,76,6270,12679675.F
6,50,59,5145,12679677.F
10,52,64,6816,12679687.F
91,19,35,3317,12679781.F
23,309,266,9209,12682377.F
3,11,22,2737,12682739.F
98,80,205,15767,12683059.F
1,11,8,1884,12683101.F
1,4,17,2212,12683286.F
0,8,12,2250,12683357.F
7,35,44,7900,12683358.F
3,18,42,4290,12683369.F
3,11,31,4189,12683408.F
1,28,28,3980,12683422.F
